	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	s21	s22	s23	s24	s25	s26	s27	s28	s29	s30	s31	s32	s33	s34	s35	s36
taxon_113	0	0	739	115	0	3197	0	0	0	456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_114	0	1190	0	0	0	0	0	0	727	0	0	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2191	0	0	0	0	0	0	0	0	0
taxon_115	0	0	181	0	0	0	3019	0	645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	0	0	0	0	0	0	0	0	0	0
taxon_116	0	2367	654	0	0	0	0	0	0	685	0	0	0	0	0	0	0	0	0	0	0	0	546	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_117	0	0	0	0	0	0	0	0	0	0	0	643	0	0	0	1317	1208	0	0	0	609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_118	0	0	0	0	0	0	0	0	0	0	0	914	301	154	2404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_119	0	0	0	0	1434	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1026	1011	0	0	0	0	0	0	0	0	0
taxon_120	0	0	0	0	0	539	340	0	0	2056	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_121	0	0	1249	0	0	0	265	0	319	1255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_122	541	0	0	533	0	0	0	0	0	0	0	0	607	0	0	0	1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_123	0	0	1142	0	0	369	415	0	0	1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_124	0	0	0	0	0	0	0	0	0	0	0	619	179	0	1836	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_125	1155	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	820	685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_126	0	0	0	0	0	0	0	0	0	0	0	987	0	285	0	0	575	0	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_127	0	0	0	0	0	753	984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	478	0	0	229	0	0	0	0	0	0	0
taxon_128	0	0	208	0	0	0	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	1565	0	0	0	0	0	0	0	0
taxon_129	0	0	137	0	944	0	806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	0	0	0	0
taxon_130	0	0	0	151	0	0	0	0	0	0	0	0	0	359	1170	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_131	0	690	99	0	0	374	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_132	375	0	0	0	0	0	0	0	0	0	0	157	0	0	0	0	680	0	0	0	502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxon_133	0	0	0	257	0	0	0	0	0	0	0	0	0	546	747	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
